league_name,total_matches,avg_duration,radiant_win_pct
EPL World Series: America 2024-2025 Season ,11,1974.0,63.63636363636363
EPL World Series: Southeast Asia 2024-2025 Season ,6,2192.6666666666665,66.66666666666667
Destiny League,20,1596.45,55.0
Party To Play league,2,1696.5,100.0
European Pro League  2024-2025 Season,10,2149.4,30.0
Ultras Dota Pro League  2024-25,19,1982.157894736842,52.63157894736842
Dota 2 Space League,22,1861.9545454545455,68.18181818181819
Ancients League,10,1538.3,50.0
